ENSG00000148288 GBGT1 gene_1
ENSG00000278412 MIR6854 gene_8842
ENSG00000171161 ZNF672 gene_8843
ENSG00000231439 WASIR2 gene_8844
ENSG00000266151 MIR3646 gene_8845
ENSG00000222389 RNU2-28P gene_8846
ENSG00000176732 PFN4 gene_8847
ENSG00000171786 NHLH1 gene_8848
ENSG00000105352 CEACAM4 gene_8849
ENSG00000152463 OLAH gene_8850
ENSG00000185787 MORF4L1 gene_8851
ENSG00000106524 ANKMY2 gene_8852
ENSG00000234625 LINC00380 gene_8853
ENSG00000271130 IGHV3OR16-8 gene_8854
ENSG00000139194 RBP5 gene_8855
ENSG00000266920 ACTBP9 gene_8856
ENSG00000262085 OR1P1 gene_8857
ENSG00000213246 SUPT4H1 gene_8858
ENSG00000220868 MRPL35P1 gene_8859
ENSG00000124098 FAM210B gene_8860
ENSG00000211664 IGLV2-18 gene_8861
ENSG00000204532 ZSCAN5CP gene_8862
ENSG00000214286 PDCL3P3 gene_8863
ENSG00000142700 DMRTA2 gene_8864
ENSG00000222715 MIR1911 gene_8865
ENSG00000234888 OFD1P15Y gene_8866
ENSG00000182218 HHIPL1 gene_8867
ENSG00000067064 IDI1 gene_8868
ENSG00000242794 RN7SL299P gene_8869
ENSG00000171604 CXXC5 gene_8870
ENSG00000102804 TSC22D1 gene_8871
ENSG00000084764 MAPRE3 gene_8872
ENSG00000137869 CYP19A1 gene_8873
ENSG00000143324 XPR1 gene_8874
ENSG00000103355 PRSS33 gene_8875
ENSG00000252900 RNU6-303P gene_8876
ENSG00000179921 GPBAR1 gene_8877
ENSG00000228410 TCEB1P24 gene_8878
ENSG00000238964 RNU7-125P gene_8879
ENSG00000255660 RERG-AS1 gene_8880
ENSG00000224596 ZMIZ1-AS1 gene_8881
ENSG00000119705 SLIRP gene_8882
ENSG00000134594 RAB33A gene_8883
ENSG00000222713 RN7SKP51 gene_8884
ENSG00000274115 MIR6081 gene_8885
ENSG00000230318 XRCC6P3 gene_8886
ENSG00000231023 LINC00326 gene_8887
ENSG00000122965 RBM19 gene_8888
ENSG00000259000 DOCK11P1 gene_8889
ENSG00000249912 TRBV26 gene_8890
ENSG00000187871 GFRAL gene_8891
ENSG00000251449 MTND1P19 gene_8892
ENSG00000207154 RNU1-46P gene_8893
ENSG00000213309 RPL9P18 gene_8894
ENSG00000131507 NDFIP1 gene_8895
ENSG00000106526 ACTR3C gene_8896
ENSG00000263360 RN7SL134P gene_8897
ENSG00000179363 TMEM31 gene_8898
ENSG00000157778 PSMG3 gene_8899
ENSG00000224081 LINC01057 gene_8900
ENSG00000153790 C7orf31 gene_8901
ENSG00000072954 TMEM38A gene_8902
ENSG00000143322 ABL2 gene_8903
ENSG00000275429 MIR6862-1 gene_8904
ENSG00000169717 ACTRT2 gene_8905
ENSG00000006377 DLX6 gene_8906
ENSG00000237489 LINC00959 gene_8907
ENSG00000201271 RNU1-112P gene_8908
ENSG00000213411 RBM22P2 gene_8909
ENSG00000232860 SMG7-AS1 gene_8910
ENSG00000200801 SNORD115-28 gene_8911
ENSG00000167104 BPIFB6 gene_8912
ENSG00000235447 TRAPPC13P1 gene_8913
ENSG00000242752 NMTRQ-TTG12-1 gene_8914
ENSG00000254013 MAP2K1P1 gene_8915
ENSG00000167664 TMIGD2 gene_8916
ENSG00000143643 TTC13 gene_8917
ENSG00000130643 CALY gene_8918
ENSG00000132004 FBXW9 gene_8919
ENSG00000201243 RNU6-654P gene_8920
ENSG00000261603 PRSS46 gene_8921
ENSG00000198586 TLK1 gene_8922
ENSG00000108370 RGS9 gene_8923
ENSG00000201544 SNORA16B gene_8924
ENSG00000163435 ELF3 gene_8925
ENSG00000227000 HSPD1P14 gene_8926
ENSG00000249306 LINC01411 gene_8927
ENSG00000143318 CASQ1 gene_8928
ENSG00000196427 NBPF4 gene_8929
ENSG00000164916 FOXK1 gene_8930
ENSG00000223601 EBLN1 gene_8931
ENSG00000157765 SLC34A2 gene_8932
ENSG00000227646 STEAP2-AS1 gene_8933
ENSG00000237197 IGHD1-7 gene_8934
ENSG00000144792 ZNF660 gene_8935
ENSG00000007312 CD79B gene_8936
ENSG00000271036 CLPTM1LP1 gene_8937
ENSG00000229111 MED4-AS1 gene_8938
ENSG00000196352 CD55 gene_8939
ENSG00000211846 TRAJ43 gene_8940
ENSG00000110172 CHORDC1 gene_8941
ENSG00000164483 SAMD3 gene_8942
ENSG00000143867 OSR1 gene_8943
ENSG00000180424 DEFB123 gene_8944
ENSG00000230870 FBXW11P1 gene_8945
ENSG00000215126 CBWD7 gene_8946
ENSG00000176396 EID2 gene_8947
ENSG00000211524 MIR718 gene_8948
ENSG00000199085 MIR148A gene_8949
ENSG00000204928 GRXCR2 gene_8950
ENSG00000265293 ARGFXP2 gene_8951
ENSG00000211672 IGLV4-3 gene_8952
ENSG00000223592 FNDC3CP gene_8953
ENSG00000169218 RSPO1 gene_8954
ENSG00000175471 MCTP1 gene_8955
ENSG00000276006 REXO1L12P gene_8956
ENSG00000161011 SQSTM1 gene_8957
ENSG00000263831 MIR378E gene_8958
ENSG00000215845 TSTD1 gene_8959
ENSG00000182545 RNASE10 gene_8960
ENSG00000235746 CTBP2P2 gene_8961
ENSG00000223701 RAET1E-AS1 gene_8962
ENSG00000085872 CHERP gene_8963
ENSG00000186081 KRT5 gene_8964
ENSG00000185989 RASA3 gene_8965
ENSG00000108641 B9D1 gene_8966
ENSG00000165929 TC2N gene_8967
ENSG00000197405 C5AR1 gene_8968
ENSG00000186952 TMEM232 gene_8969
ENSG00000226157 OR52E3P gene_8970
ENSG00000165188 RNF183 gene_8971
ENSG00000108055 SMC3 gene_8972
ENSG00000168066 SF1 gene_8973
ENSG00000226057 PHF2P2 gene_8974
ENSG00000171790 SLFNL1 gene_8975
ENSG00000149972 CNTN5 gene_8976
ENSG00000153898 MCOLN2 gene_8977
ENSG00000235314 LINC00957 gene_8978
ENSG00000142512 SIGLEC10 gene_8979
ENSG00000170162 VGLL2 gene_8980
ENSG00000169760 NLGN1 gene_8981
ENSG00000225975 LINC01534 gene_8982
ENSG00000271095 BNIP3P28 gene_8983
ENSG00000274592 MIR10A gene_8984
ENSG00000240602 AADACP1 gene_8985
ENSG00000183072 NKX2-5 gene_8986
ENSG00000186481 ANKRD20A5P gene_8987
ENSG00000242683 RPL12P21 gene_8988
ENSG00000088832 FKBP1A gene_8989
ENSG00000208006 MIR16-1 gene_8990
ENSG00000213664 RPS16P8 gene_8991
ENSG00000224796 RPL32P1 gene_8992
ENSG00000267278 MAP3K14-AS1 gene_8993
ENSG00000182383 RPL27AP5 gene_8994
ENSG00000164023 SGMS2 gene_8995
ENSG00000147403 RPL10 gene_8996
ENSG00000122694 GLIPR2 gene_8997
ENSG00000280337 DUX4L25 gene_8998
ENSG00000204661 C5orf60 gene_8999
ENSG00000198121 LPAR1 gene_9000
ENSG00000157881 PANK4 gene_9001
ENSG00000140522 RLBP1 gene_9002
ENSG00000136149 RPL13AP25 gene_9003
ENSG00000121741 ZMYM2 gene_9004
ENSG00000260451 GEMIN8P2 gene_9005
ENSG00000198975 MIRLET7A2 gene_9006
ENSG00000228890 TTTY21 gene_9007
ENSG00000251947 RN7SKP164 gene_9008
ENSG00000140030 GPR65 gene_9009
ENSG00000126216 TUBGCP3 gene_9010
ENSG00000237550 RPL9P9 gene_9011
ENSG00000196277 GRM7 gene_9012
ENSG00000269266 DNAJC19P2 gene_9013
ENSG00000143278 F13B gene_9014
ENSG00000133687 TMTC1 gene_9015
ENSG00000183486 MX2 gene_9016
ENSG00000265763 ZNF488 gene_9017
ENSG00000148344 PTGES gene_9018
ENSG00000243095 RPL3P10 gene_9019
ENSG00000188487 INSC gene_9020
ENSG00000124784 RIOK1 gene_9021
ENSG00000113597 TRAPPC13 gene_9022
ENSG00000181847 TIGIT gene_9023
ENSG00000201367 RNU6-522P gene_9024
ENSG00000246273 SBF2-AS1 gene_9025
ENSG00000223287 RNU6-954P gene_9026
ENSG00000178567 EPM2AIP1 gene_9027
ENSG00000205240 OR7E36P gene_9028
ENSG00000143106 PSMA5 gene_9029
ENSG00000085491 SLC25A24 gene_9030
ENSG00000259918 NDUFA5P11 gene_9031
ENSG00000271679 LSM1P2 gene_9032
ENSG00000112902 SEMA5A gene_9033
ENSG00000264173 MIR3175 gene_9034
ENSG00000136295 TTYH3 gene_9035
ENSG00000105576 TNPO2 gene_9036
ENSG00000133030 MPRIP gene_9037
ENSG00000277043 EEF1A1P42 gene_9038
ENSG00000165152 TMEM246 gene_9039
ENSG00000172943 PHF8 gene_9040
ENSG00000152214 RIT2 gene_9041
ENSG00000251051 ELL2P2 gene_9042
ENSG00000233747 RPL36AP13 gene_9043
ENSG00000174672 BRSK2 gene_9044
ENSG00000211746 TRBV19 gene_9045
ENSG00000256614 AK6P1 gene_9046
ENSG00000143107 FNDC7 gene_9047
ENSG00000240767 RN7SL288P gene_9048
ENSG00000174652 ZNF266 gene_9049
ENSG00000196151 WDSUB1 gene_9050
ENSG00000258700 LINC00871 gene_9051
ENSG00000176920 FUT2 gene_9052
ENSG00000239810 PRAMEF11 gene_9053
ENSG00000242524 OR2U2P gene_9054
ENSG00000207010 RNU6-318P gene_9055
ENSG00000270961 IGHD5OR15-5A gene_9056
ENSG00000251504 LINC01099 gene_9057
ENSG00000109272 PF4V1 gene_9058
ENSG00000249487 LINC01586 gene_9059
ENSG00000249550 LINC01234 gene_9060
ENSG00000164265 SCGB3A2 gene_9061
ENSG00000235751 MAGI2-IT1 gene_9062
ENSG00000164398 ACSL6 gene_9063
ENSG00000221527 RNU6ATAC41P gene_9064
ENSG00000198892 SHISA4 gene_9065
ENSG00000268101 CYP2G2P gene_9066
ENSG00000243905 RN7SL679P gene_9067
ENSG00000149418 ST14 gene_9068
ENSG00000199143 MIR373 gene_9069
ENSG00000265092 MIR4484 gene_9070
ENSG00000057757 PITHD1 gene_9071
ENSG00000238363 SNORA13 gene_9072
ENSG00000199674 RNU6-862P gene_9073
ENSG00000207453 RNU6-535P gene_9074
ENSG00000277719 MIR7705 gene_9075
ENSG00000029559 IBSP gene_9076
ENSG00000100003 SEC14L2 gene_9077
ENSG00000232070 TMEM253 gene_9078
ENSG00000206807 RNU6-815P gene_9079
ENSG00000207065 RNU5A-2P gene_9080
ENSG00000227191 TRGC2 gene_9081
ENSG00000181631 P2RY13 gene_9082
ENSG00000162433 AK4 gene_9083
ENSG00000167778 SPRYD3 gene_9084
ENSG00000248966 BCLAF1P1 gene_9085
ENSG00000182809 CRIP2 gene_9086
ENSG00000210839 RNU6ATAC5P gene_9087
ENSG00000230405 RPS3AP52 gene_9088
ENSG00000185480 PARPBP gene_9089
ENSG00000103876 FAH gene_9090
ENSG00000225716 TCEB1P13 gene_9091
ENSG00000236502 SIX3-AS1 gene_9092
ENSG00000233733 H2AFZP6 gene_9093
ENSG00000261315 LARP4P gene_9094
ENSG00000136305 CIDEB gene_9095
ENSG00000101282 RSPO4 gene_9096
ENSG00000166165 CKB gene_9097
ENSG00000235868 GAPDHP31 gene_9098
ENSG00000220875 HIST1H3PS1 gene_9099
ENSG00000160185 UBASH3A gene_9100
ENSG00000207264 RNU6-15P gene_9101
ENSG00000201557 SNORD114-15 gene_9102
ENSG00000244217 RPS4XP10 gene_9103
ENSG00000165669 FAM204A gene_9104
ENSG00000021826 CPS1 gene_9105
ENSG00000213376 GAPDHP71 gene_9106
ENSG00000183856 IQGAP3 gene_9107
ENSG00000131475 VPS25 gene_9108
ENSG00000188386 PPP3R2 gene_9109
ENSG00000260846 FRG2HP gene_9110
ENSG00000127580 WDR24 gene_9111
ENSG00000100439 ABHD4 gene_9112
ENSG00000197584 KCNMB2 gene_9113
ENSG00000245311 ARNTL2-AS1 gene_9114
ENSG00000226906 TTTY4 gene_9115
ENSG00000199130 MIR365A gene_9116
ENSG00000226054 MEMO1P1 gene_9117
ENSG00000223629 DEFA8P gene_9118
ENSG00000069812 HES2 gene_9119
ENSG00000174418 RPL35P9 gene_9120
ENSG00000147536 GINS4 gene_9121
ENSG00000267664 RPL17P45 gene_9122
ENSG00000188399 ANKRD36P1 gene_9123
ENSG00000169347 GP2 gene_9124
ENSG00000164694 FNDC1 gene_9125
ENSG00000151812 SLC35F4 gene_9126
ENSG00000137392 CLPS gene_9127
ENSG00000230020 NHS-AS1 gene_9128
ENSG00000136628 EPRS gene_9129
ENSG00000164949 GEM gene_9130
ENSG00000228473 LIN28AP2 gene_9131
ENSG00000101306 MYLK2 gene_9132
ENSG00000259378 DCAF13P3 gene_9133
ENSG00000147274 RBMX gene_9134
ENSG00000271924 RNA5SP108 gene_9135
ENSG00000130538 OR11H1 gene_9136
ENSG00000214717 ZBED1 gene_9137
ENSG00000238228 OR7E7P gene_9138
ENSG00000164037 SLC9B1 gene_9139
ENSG00000100033 PRODH gene_9140
ENSG00000244537 KRTAP4-2 gene_9141
ENSG00000131323 TRAF3 gene_9142
ENSG00000213085 CFAP45 gene_9143
ENSG00000173421 CCDC36 gene_9144
ENSG00000201968 RNA5SP138 gene_9145
ENSG00000199814 RNU6-1260P gene_9146
ENSG00000117748 RPA2 gene_9147
ENSG00000188269 OR7A5 gene_9148
ENSG00000230411 OR3D1P gene_9149
ENSG00000102898 NUTF2 gene_9150
ENSG00000206638 RNU6-672P gene_9151
ENSG00000252512 RNA5SP206 gene_9152
ENSG00000095539 SEMA4G gene_9153
ENSG00000108669 CYTH1 gene_9154
ENSG00000128928 IVD gene_9155
ENSG00000254524 OR8I4P gene_9156
ENSG00000249835 VCAN-AS1 gene_9157
ENSG00000224640 SRSF1P1 gene_9158
ENSG00000211883 TRAJ6 gene_9159
ENSG00000136834 OR1J1 gene_9160
ENSG00000081307 UBA5 gene_9161
ENSG00000167749 KLK4 gene_9162
ENSG00000165511 C10orf25 gene_9163
ENSG00000180116 C12orf40 gene_9164
ENSG00000199483 RNU4-15P gene_9165
ENSG00000243964 RPL23AP65 gene_9166
ENSG00000261834 IGHV3OR16-15 gene_9167
ENSG00000168397 ATG4B gene_9168
ENSG00000189129 PLAC9 gene_9169
ENSG00000158901 WFDC8 gene_9170
ENSG00000226658 RPL23AP30 gene_9171
ENSG00000265418 MIR4261 gene_9172
ENSG00000187479 C11orf96 gene_9173
ENSG00000100095 SEZ6L gene_9174
ENSG00000124157 SEMG2 gene_9175
ENSG00000252643 RNU6-1136P gene_9176
ENSG00000114786 ABHD14A-ACY1 gene_9177
ENSG00000197837 HIST4H4 gene_9178
ENSG00000146039 SLC17A4 gene_9179
ENSG00000135049 AGTPBP1 gene_9180
ENSG00000223501 VPS52 gene_9181
ENSG00000244056 RN7SL417P gene_9182
ENSG00000070526 ST6GALNAC1 gene_9183
ENSG00000166984 TCP10L2 gene_9184
ENSG00000105393 BABAM1 gene_9185
ENSG00000257966 OLA1P3 gene_9186
ENSG00000089558 KCNH4 gene_9187
ENSG00000142227 EMP3 gene_9188
ENSG00000212308 RNA5SP23 gene_9189
ENSG00000199012 MIR412 gene_9190
ENSG00000259295 CSPG4P12 gene_9191
ENSG00000010704 HFE gene_9192
ENSG00000188981 MSANTD1 gene_9193
ENSG00000147180 ZNF711 gene_9194
ENSG00000172243 CLEC7A gene_9195
ENSG00000103160 HSDL1 gene_9196
ENSG00000002822 MAD1L1 gene_9197
ENSG00000183674 LINC00518 gene_9198
ENSG00000199219 RNU6-500P gene_9199
ENSG00000257818 C1GALT1P1 gene_9200
ENSG00000157379 DHRS1 gene_9201
ENSG00000103047 TANGO6 gene_9202
ENSG00000265260 RN7SL74P gene_9203
ENSG00000100346 CACNA1I gene_9204
ENSG00000186017 ZNF566 gene_9205
ENSG00000253556 MTCO1P4 gene_9206
ENSG00000128159 TUBGCP6 gene_9207
ENSG00000128016 ZFP36 gene_9208
ENSG00000090661 CERS4 gene_9209
ENSG00000233380 RPS2P48 gene_9210
ENSG00000277483 RN7SL321P gene_9211
ENSG00000139428 MMAB gene_9212
ENSG00000177946 CENPBD1 gene_9213
ENSG00000133106 EPSTI1 gene_9214
ENSG00000099617 EFNA2 gene_9215
ENSG00000261397 LINC01177 gene_9216
ENSG00000232885 GPC5-AS2 gene_9217
ENSG00000124253 PCK1 gene_9218
ENSG00000198734 F5 gene_9219
ENSG00000273872 SLC25A15P4 gene_9220
ENSG00000136856 SLC2A8 gene_9221
ENSG00000187720 THSD4 gene_9222
ENSG00000158006 PAFAH2 gene_9223
ENSG00000174970 OR10AG1 gene_9224
ENSG00000198898 CAPZA2 gene_9225
ENSG00000183354 KIAA2026 gene_9226
ENSG00000279685 MAPT-IT1 gene_9227
ENSG00000133216 EPHB2 gene_9228
ENSG00000125821 DTD1 gene_9229
ENSG00000119401 TRIM32 gene_9230
ENSG00000164379 FOXQ1 gene_9231
ENSG00000136715 SAP130 gene_9232
ENSG00000230198 RPL37P4 gene_9233
ENSG00000237452 BHMG1 gene_9234
ENSG00000064199 SPA17 gene_9235
ENSG00000211715 TRBV5-3 gene_9236
ENSG00000240412 RPL5P15 gene_9237
ENSG00000216135 MIR885 gene_9238
ENSG00000230086 VN1R96P gene_9239
ENSG00000236937 PTGES3P4 gene_9240
ENSG00000173402 DAG1 gene_9241
ENSG00000230207 RPL4P5 gene_9242
ENSG00000066136 NFYC gene_9243
ENSG00000100949 RABGGTA gene_9244
ENSG00000212380 SNORD115-45 gene_9245
ENSG00000200379 RN7SKP45 gene_9246
ENSG00000111196 MAGOHB gene_9247
ENSG00000239510 RPL9P5 gene_9248
ENSG00000173237 C11orf86 gene_9249
ENSG00000141252 VPS53 gene_9250
ENSG00000206786 RNU6-701P gene_9251
ENSG00000066739 ATG2B gene_9252
ENSG00000120669 SOHLH2 gene_9253
ENSG00000129194 SOX15 gene_9254
ENSG00000100403 ZC3H7B gene_9255
ENSG00000160233 LRRC3 gene_9256
ENSG00000243232 PCDHAC2 gene_9257
ENSG00000219463 RPSAP42 gene_9258
ENSG00000236165 PRADC1P1 gene_9259
ENSG00000140450 ARRDC4 gene_9260
ENSG00000138085 ATRAID gene_9261
ENSG00000277723 MIR6827 gene_9262
ENSG00000224524 CYCSP42 gene_9263
ENSG00000106948 AKNA gene_9264
ENSG00000172062 SMN1 gene_9265
ENSG00000102316 MAGED2 gene_9266
ENSG00000259045 MTCO1P2 gene_9267
ENSG00000227841 MTND5P31 gene_9268
ENSG00000235137 HSP90AB6P gene_9269
ENSG00000162545 CAMK2N1 gene_9270
ENSG00000152779 SLC16A12 gene_9271
ENSG00000251717 RNA5SP419 gene_9272
ENSG00000116874 WARS2 gene_9273
ENSG00000040531 CTNS gene_9274
ENSG00000155256 ZFYVE27 gene_9275
ENSG00000235205 TATDN2P3 gene_9276
ENSG00000266589 MIR4512 gene_9277
ENSG00000226978 MAGI2-AS2 gene_9278
ENSG00000215271 HOMEZ gene_9279
ENSG00000063601 MTMR1 gene_9280
ENSG00000241353 PPP1R2P4 gene_9281
ENSG00000242696 RN7SL40P gene_9282
ENSG00000142002 DPP9 gene_9283
ENSG00000165863 C10orf82 gene_9284
ENSG00000115252 PDE1A gene_9285
ENSG00000167766 ZNF83 gene_9286
ENSG00000146676 PURB gene_9287
ENSG00000215386 MIR99AHG gene_9288
ENSG00000120451 SNX19 gene_9289
ENSG00000175054 ATR gene_9290
ENSG00000221466 MIR548AJ2 gene_9291
ENSG00000166948 TGM6 gene_9292
ENSG00000054219 LY75 gene_9293
ENSG00000201135 RNU6-777P gene_9294
ENSG00000112514 CUTA gene_9295
ENSG00000237787 C3orf79 gene_9296
ENSG00000118496 FBXO30 gene_9297
ENSG00000211665 IGLV3-16 gene_9298
ENSG00000186575 NF2 gene_9299
ENSG00000201165 RNU6-1229P gene_9300
ENSG00000242600 MBL1P gene_9301
ENSG00000274266 SNORA73A gene_9302
ENSG00000204616 TRIM31 gene_9303
ENSG00000180979 LRRC57 gene_9304
ENSG00000092068 SLC7A8 gene_9305
ENSG00000087250 MT3 gene_9306
ENSG00000124788 ATXN1 gene_9307
ENSG00000189127 ANKRD34B gene_9308
ENSG00000273408 OR5B15P gene_9309
ENSG00000239921 LINC01471 gene_9310
ENSG00000252141 RNU6-65P gene_9311
ENSG00000187764 SEMA4D gene_9312
ENSG00000082212 ME2 gene_9313
ENSG00000167588 GPD1 gene_9314
ENSG00000120093 HOXB3 gene_9315
ENSG00000214929 SPATA31D1 gene_9316
ENSG00000213551 DNAJC9 gene_9317
ENSG00000251209 LINC00923 gene_9318
ENSG00000091583 APOH gene_9319
ENSG00000248590 GLDCP1 gene_9320
ENSG00000273762 VN1R76P gene_9321
ENSG00000215102 TERF1P4 gene_9322
ENSG00000101365 IDH3B gene_9323
ENSG00000125319 C17orf53 gene_9324
ENSG00000076242 MLH1 gene_9325
ENSG00000104320 NBN gene_9326
ENSG00000212332 RNU6-780P gene_9327
ENSG00000106689 LHX2 gene_9328
ENSG00000234797 RPS3AP6 gene_9329
ENSG00000231914 LINC00387 gene_9330
ENSG00000100014 SPECC1L gene_9331
ENSG00000182264 IZUMO1 gene_9332
ENSG00000070759 TESK2 gene_9333
ENSG00000062716 VMP1 gene_9334
ENSG00000197818 SLC9A8 gene_9335
ENSG00000206102 KRTAP19-8 gene_9336
ENSG00000234851 RPL23AP42 gene_9337
ENSG00000141367 CLTC gene_9338
ENSG00000116544 DLGAP3 gene_9339
ENSG00000238648 TRI-TAT2-3 gene_9340
ENSG00000101166 PRELID3B gene_9341
ENSG00000268830 BNIP3P32 gene_9342
ENSG00000129824 RPS4Y1 gene_9343
ENSG00000138074 SLC5A6 gene_9344
ENSG00000121406 ZNF549 gene_9345
ENSG00000196821 C6orf106 gene_9346
ENSG00000225093 RPL3P7 gene_9347
ENSG00000179954 SSC5D gene_9348
ENSG00000251697 RN7SKP24 gene_9349
ENSG00000256271 CACNA1C-AS2 gene_9350
ENSG00000186334 SLC36A3 gene_9351
ENSG00000259746 HSPE1P3 gene_9352
ENSG00000260691 ANKRD20A1 gene_9353
ENSG00000133460 SLC2A11 gene_9354
ENSG00000097046 CDC7 gene_9355
ENSG00000180861 LINC01559 gene_9356
ENSG00000252627 RNU6-122P gene_9357
ENSG00000128298 BAIAP2L2 gene_9358
ENSG00000186594 MIR22HG gene_9359
ENSG00000273698 MRPL57P1 gene_9360
ENSG00000105676 ARMC6 gene_9361
ENSG00000252237 RNU4-54P gene_9362
ENSG00000265660 MIR4664 gene_9363
ENSG00000117601 SERPINC1 gene_9364
ENSG00000122042 UBL3 gene_9365
ENSG00000258739 ENO1P2 gene_9366
ENSG00000165525 NEMF gene_9367
ENSG00000212240 RNU6-930P gene_9368
ENSG00000237693 IRGM gene_9369
ENSG00000196526 AFAP1 gene_9370
ENSG00000119913 TECTB gene_9371
ENSG00000068654 POLR1A gene_9372
ENSG00000275690 MIR1302-10 gene_9373
ENSG00000204052 LRRC73 gene_9374
ENSG00000202070 RNU6-1175P gene_9375
ENSG00000227657 SERPINA7P1 gene_9376
ENSG00000207871 MIR513B gene_9377
ENSG00000234700 MTCO1P8 gene_9378
ENSG00000171291 ZNF439 gene_9379
ENSG00000125780 TGM3 gene_9380
ENSG00000129646 QRICH2 gene_9381
ENSG00000201613 RNU6-200P gene_9382
ENSG00000181518 OR8D4 gene_9383
ENSG00000119408 NEK6 gene_9384
ENSG00000237913 FTLP19 gene_9385
ENSG00000154001 PPP2R5E gene_9386
ENSG00000100934 SEC23A gene_9387
ENSG00000251128 WWC2-AS1 gene_9388
ENSG00000271814 RN7SKP290 gene_9389
ENSG00000227275 MTND6P10 gene_9390
ENSG00000127311 HELB gene_9391
ENSG00000114841 DNAH1 gene_9392
ENSG00000265991 MIR4519 gene_9393
ENSG00000136573 BLK gene_9394
ENSG00000252772 RNU6-714P gene_9395
ENSG00000179615 OR2AP1 gene_9396
ENSG00000157111 TMEM171 gene_9397
ENSG00000152133 GPATCH11 gene_9398
ENSG00000087502 ERGIC2 gene_9399
ENSG00000170876 TMEM43 gene_9400
ENSG00000226009 KCNIP2-AS1 gene_9401
ENSG00000166510 CCDC68 gene_9402
ENSG00000180776 ZDHHC20 gene_9403
ENSG00000229147 SMPD4P2 gene_9404
ENSG00000163273 NPPC gene_9405
ENSG00000236932 CEACAMP8 gene_9406
ENSG00000121274 PAPD5 gene_9407
ENSG00000124143 ARHGAP40 gene_9408
ENSG00000214814 FER1L6 gene_9409
ENSG00000276547 PCDHGB5 gene_9410
ENSG00000168028 RPSA gene_9411
ENSG00000265905 RN7SL96P gene_9412
ENSG00000157600 TMEM164 gene_9413
ENSG00000250988 SNHG21 gene_9414
ENSG00000215369 RPL37P3 gene_9415
ENSG00000214107 MAGEB1 gene_9416
ENSG00000206917 RNU1-52P gene_9417
ENSG00000243775 OSTCP1 gene_9418
ENSG00000123685 BATF3 gene_9419
ENSG00000265148 BZRAP1-AS1 gene_9420
ENSG00000100129 EIF3L gene_9421
ENSG00000133110 POSTN gene_9422
ENSG00000225759 LINC00489 gene_9423
ENSG00000200882 RNU6-681P gene_9424
ENSG00000278521 MIR4732 gene_9425
ENSG00000100823 APEX1 gene_9426
ENSG00000162981 FAM84A gene_9427
ENSG00000206991 RNU6-610P gene_9428
ENSG00000231293 RPL36AP6 gene_9429
ENSG00000251951 RN7SKP34 gene_9430
ENSG00000040933 INPP4A gene_9431
ENSG00000198633 ZNF534 gene_9432
ENSG00000243910 TUBA4B gene_9433
ENSG00000170340 B3GNT2 gene_9434
ENSG00000160326 SLC2A6 gene_9435
ENSG00000230082 PRRT3-AS1 gene_9436
ENSG00000226317 LINC00351 gene_9437
ENSG00000196498 NCOR2 gene_9438
ENSG00000100994 PYGB gene_9439
ENSG00000250721 HMGB1P22 gene_9440
ENSG00000220744 RPL5P18 gene_9441
ENSG00000172014 ANKRD20A4 gene_9442
ENSG00000139767 SRRM4 gene_9443
ENSG00000254377 MIR124-2HG gene_9444
ENSG00000171819 ANGPTL7 gene_9445
ENSG00000268066 FMR1-AS1 gene_9446
ENSG00000071994 PDCD2 gene_9447
ENSG00000197437 OR13G1 gene_9448
ENSG00000136261 BZW2 gene_9449
ENSG00000250862 HMGB1P29 gene_9450
ENSG00000249973 CHCHD2P7 gene_9451
ENSG00000216001 MIR450B gene_9452
ENSG00000221614 MIR1185-2 gene_9453
ENSG00000211747 TRBV20-1 gene_9454
ENSG00000173578 XCR1 gene_9455
ENSG00000123965 PMS2P5 gene_9456
ENSG00000161243 FBXO27 gene_9457
ENSG00000059378 PARP12 gene_9458
ENSG00000178538 CA8 gene_9459
ENSG00000223802 CERS1 gene_9460
ENSG00000221996 OR52B4 gene_9461
ENSG00000211753 TRBV28 gene_9462
ENSG00000236401 SLC4A1APP2 gene_9463
ENSG00000082196 C1QTNF3 gene_9464
ENSG00000115112 TFCP2L1 gene_9465
ENSG00000235090 RPL7L1P3 gene_9466
ENSG00000133858 ZFC3H1 gene_9467
ENSG00000171497 PPID gene_9468
ENSG00000145982 FARS2 gene_9469
ENSG00000133466 C1QTNF6 gene_9470
ENSG00000088356 PDRG1 gene_9471
ENSG00000260343 LINC01043 gene_9472
ENSG00000199169 MIR367 gene_9473
ENSG00000227409 ZMYM4-AS1 gene_9474
ENSG00000230583 GTF2IRD1P1 gene_9475
ENSG00000207780 MIR648 gene_9476
ENSG00000248355 ARL2BPP6 gene_9477
ENSG00000241216 SNAPC5P1 gene_9478
ENSG00000211854 TRAJ35 gene_9479
ENSG00000172380 GNG12 gene_9480
ENSG00000278535 DHRS11 gene_9481
ENSG00000153093 ACOXL gene_9482
ENSG00000186056 MATN1-AS1 gene_9483
ENSG00000105341 ATP5SL gene_9484
ENSG00000228055 LINC00864 gene_9485
ENSG00000196150 ZNF250 gene_9486
ENSG00000254063 DUXAP2 gene_9487
ENSG00000226159 LINC01375 gene_9488
ENSG00000132825 PPP1R3D gene_9489
ENSG00000013563 DNASE1L1 gene_9490
